country,year,suicides_no,suicides/100k pop
Ireland,2005,451.0,10.0925
Ireland,2006,452.0,10.538333333333332
Ireland,2007,458.0,10.147499999999999
Ireland,2008,792.6910234079612,10.796666666666667
Ireland,2009,527.0,11.0525
Ireland,2010,486.0,10.025
Ireland,2011,1414.0730702238839,11.548333333333334
Ireland,2012,542.0,11.471666666666666
Ireland,2013,773.6910234079612,9.784166666666666
Ireland,2014,772.6910234079612,9.973333333333334
Israel,1985,807.3820468159225,9.335833333333333
Israel,1986,564.6910234079612,10.856666666666667
Israel,1987,844.3820468159225,11.134166666666667
Israel,1988,589.6910234079612,10.346666666666666
Israel,1989,353.0,14.193333333333333
Israel,1990,590.6910234079612,10.188333333333334
Israel,1991,645.6910234079612,11.611666666666666
Israel,1992,381.0,10.9125
Israel,1993,657.6910234079612,11.435833333333333
Israel,1994,416.0,12.490833333333335
Israel,1995,360.0,10.619166666666667
Israel,1996,592.6910234079612,9.209166666666667
Israel,1997,665.6910234079612,10.548333333333334
Israel,1998,318.0,8.3425
Israel,1999,654.6910234079612,8.548333333333334
Israel,2000,680.6910234079612,9.046666666666667
Israel,2001,398.0,9.019166666666667
Israel,2002,668.6910234079612,7.790833333333333
Israel,2003,703.6910234079612,8.0975
Israel,2004,411.0,8.203333333333333
Israel,2005,425.0,8.575833333333334
Israel,2006,653.6910234079612,6.71
Israel,2007,612.6910234079612,6.139166666666667
Israel,2008,354.0,7.2775
Israel,2009,404.0,6.6933333333333325
Israel,2010,480.0,8.289166666666667
Israel,2011,695.6910234079612,7.284166666666667
Israel,2012,716.6910234079612,6.982500000000001
Israel,2013,658.6910234079612,6.184166666666666
Israel,2014,382.0,5.938333333333333
Israel,2015,342.0,5.4925
Italy,1985,4759.0,11.116666666666667
Italy,1986,4691.0,10.920833333333334
Italy,1987,4516.0,10.461666666666668
Italy,1988,4381.0,10.150833333333333
Italy,1989,4342.0,9.72
Italy,1990,4402.0,10.165000000000001
Italy,1991,4453.0,9.655833333333334
Italy,1992,4543.0,9.623333333333333
Italy,1993,4697.0,10.095
Italy,1994,4536.0,9.910833333333333
Italy,1995,4569.0,9.834166666666667
Italy,1996,4689.0,9.620833333333334
Italy,1997,4694.0,9.753333333333334
Italy,1998,4504.0,9.486666666666666
Italy,1999,4115.0,8.31
Italy,2000,4108.0,8.268333333333333
Italy,2001,4030.0,7.989166666666667
Italy,2002,4069.0,7.884166666666666
Italy,2003,4075.0,7.868333333333333
Italy,2004,3986.0,7.610833333333333
Italy,2005,3742.0,6.8825
Italy,2006,3986.6910234079614,6.800833333333333
Italy,2007,3757.0,6.830000000000001
Italy,2008,3904.0,6.8075
Italy,2009,3974.0,6.8275
Italy,2010,3989.0,6.730833333333333
Italy,2011,4153.0,7.173333333333333
Italy,2012,4257.0,7.120833333333334
Italy,2013,4290.0,7.071666666666666
Italy,2014,4147.0,6.844166666666666
Italy,2015,3988.0,6.5375000000000005
Jamaica,1985,1728.1461404477677,0.7533333333333333
Jamaica,1986,3154.601257487574,0.047499999999999994
Jamaica,1987,1733.1461404477677,0.6483333333333333
Jamaica,1988,2298.52818726369,0.35000000000000003
Jamaica,1989,3440.2922808955354,0.0
Jamaica,1990,2869.9102340796126,0.11
Jamaica,1991,3154.601257487574,0.075
Jamaica,2000,2869.9102340796126,0.09666666666666666
Jamaica,2001,2298.52818726369,0.2333333333333333
Jamaica,2002,3155.601257487574,0.05833333333333333
Jamaica,2003,2868.9102340796126,0.07583333333333332
Jamaica,2004,3154.601257487574,0.06166666666666667
Jamaica,2005,624.3820468159225,2.180833333333333
Jamaica,2006,3440.2922808955354,0.0
Jamaica,2009,896.0730702238839,1.7608333333333333
Jamaica,2010,2583.2192106716516,0.09666666666666666
Jamaica,2011,623.3820468159225,2.3216666666666668
Japan,1985,23257.0,25.039166666666663
Japan,1986,25484.0,26.962500000000002
Japan,1987,23663.0,24.6075
Japan,1988,22676.0,23.72666666666667
Japan,1989,21013.0,21.951666666666668
Japan,1990,20002.0,20.530833333333334
Japan,1991,19780.0,19.5425
Japan,1992,20756.0,20.023333333333333
Japan,1993,20353.0,18.675
Japan,1994,20744.0,19.079166666666666
Japan,1995,21249.0,19.010833333333334
Japan,1996,21967.0,19.04
Japan,1997,23280.0,19.781666666666666
Japan,1998,31458.0,25.55
Japan,1999,31115.0,24.90833333333333
Japan,2000,29989.0,23.209999999999997
Japan,2001,29132.0,22.263333333333335
Japan,2002,29715.0,22.153333333333332
Japan,2003,31881.0,23.284166666666664
Japan,2004,30034.0,22.1875
Japan,2005,30369.0,22.24083333333333
Japan,2006,29769.0,21.853333333333335
Japan,2007,30665.0,22.396666666666665
Japan,2008,30073.0,22.11
Japan,2009,30523.0,22.224166666666665
Japan,2010,29411.0,21.29
Japan,2011,28766.0,21.034166666666668
Japan,2012,26338.0,19.474999999999998
Japan,2013,25991.0,19.263333333333332
Japan,2014,24357.0,18.184166666666666
Japan,2015,23092.0,17.169999999999998
Kazakhstan,1990,3172.0,27.843333333333334
Kazakhstan,1991,3082.0,26.554999999999996
Kazakhstan,1992,3356.0,26.96083333333333
Kazakhstan,1993,4019.0,31.374166666666667
Kazakhstan,1994,4024.0,34.556666666666665
Kazakhstan,1995,4706.0,37.88916666666667
Kazakhstan,1996,4773.0,37.736666666666665
Kazakhstan,1997,4642.0,36.145
Kazakhstan,1998,4313.0,36.71
Kazakhstan,1999,3991.0,33.9775
Kazakhstan,2000,4428.0,35.50416666666667
Kazakhstan,2001,4377.0,35.2075
Kazakhstan,2002,4240.0,33.82416666666666
Kazakhstan,2003,4321.0,34.30916666666666
Kazakhstan,2004,4394.0,34.48833333333334
Kazakhstan,2005,3903.0,29.816666666666666
Kazakhstan,2006,4076.0,31.227500000000003
Kazakhstan,2007,4141.0,31.3025
Kazakhstan,2008,3997.0,30.578333333333333
Kazakhstan,2009,3838.0,27.50583333333333
Kazakhstan,2010,3609.0,26.734166666666667
Kazakhstan,2011,3401.0,24.48
Kazakhstan,2012,3240.0,22.584999999999997
Kazakhstan,2013,3512.0,24.7225
Kazakhstan,2014,3119.0,21.424166666666665
Kazakhstan,2015,2872.0,19.834999999999997
Kiribati,1991,1730.1461404477677,15.128333333333332
Kiribati,1992,2584.2192106716516,6.815
Kiribati,1993,1445.4551170398063,17.018333333333334
Kiribati,1994,2016.837163855729,12.533333333333333
Kiribati,1995,2868.9102340796126,4.725833333333333
Kiribati,1996,2012.837163855729,6.445833333333333
Kiribati,1997,2585.2192106716516,6.338333333333334
Kiribati,1998,2584.2192106716516,4.204166666666667
Kiribati,1999,3440.2922808955354,0.0
Kiribati,2000,3440.2922808955354,0.0
Kiribati,2001,3440.2922808955354,0.0
Kuwait,1985,1737.1461404477677,0.9333333333333332
Kuwait,1986,2022.837163855729,0.7283333333333334
Kuwait,1987,1449.4551170398063,0.9558333333333334
Kuwait,1993,1738.1461404477677,1.0841666666666667
Kuwait,1994,1750.1461404477677,1.5391666666666666
Kuwait,1995,1746.1461404477677,1.0616666666666668
Kuwait,1996,1750.1461404477677,1.5274999999999999
Kuwait,1997,1466.4551170398063,1.6616666666666668
Kuwait,1998,1468.4551170398063,1.3508333333333333
Kuwait,1999,1479.4551170398063,1.4016666666666666
Kuwait,2000,1467.4551170398063,1.2691666666666668
Kuwait,2001,2036.837163855729,0.7608333333333334
Kuwait,2002,1765.1461404477677,1.2133333333333334
Kuwait,2003,1764.1461404477677,1.37
Kuwait,2004,1765.1461404477677,1.4383333333333335
Kuwait,2005,1485.4551170398063,1.515
Kuwait,2006,1478.4551170398063,1.3191666666666666
Kuwait,2007,1484.4551170398063,1.085
Kuwait,2008,1193.764093631845,0.98
Kuwait,2009,1494.4551170398063,1.2341666666666666
Kuwait,2010,1472.4551170398063,0.8366666666666668
Kuwait,2011,901.0730702238839,0.9508333333333333
Kuwait,2012,916.0730702238839,1.2991666666666666
Kuwait,2013,1474.4551170398063,0.8233333333333333
Kuwait,2014,1214.764093631845,1.3216666666666665
Kyrgyzstan,1990,547.0,20.589166666666667
Kyrgyzstan,1991,543.0,20.549166666666668
Kyrgyzstan,1992,491.0,18.451666666666664
Kyrgyzstan,1993,563.0,21.565833333333334
Kyrgyzstan,1994,581.0,21.1925
Kyrgyzstan,1995,605.0,19.980833333333333
Kyrgyzstan,1996,480.0,17.211666666666666
Kyrgyzstan,1997,496.0,15.904166666666667
Kyrgyzstan,1998,509.0,15.411666666666667
Kyrgyzstan,1999,556.0,15.953333333333333
Kyrgyzstan,2000,510.0,15.219166666666666
Kyrgyzstan,2001,560.0,16.10833333333333
Kyrgyzstan,2002,567.0,14.425833333333335
Kyrgyzstan,2003,479.0,11.488333333333335
Kyrgyzstan,2004,438.0,11.777500000000002
Kyrgyzstan,2005,470.0,11.29
Kyrgyzstan,2006,463.0,12.165833333333333
Kyrgyzstan,2007,482.0,10.490833333333333
Kyrgyzstan,2008,759.6910234079612,11.33
Kyrgyzstan,2009,458.0,9.44
Kyrgyzstan,2010,500.0,11.933333333333335
Kyrgyzstan,2011,471.0,10.574166666666667
Kyrgyzstan,2012,524.0,11.721666666666666
Kyrgyzstan,2013,446.0,9.153333333333334
Kyrgyzstan,2014,461.0,9.315833333333334
Kyrgyzstan,2015,417.0,8.1975
Latvia,1995,1024.0,45.468333333333334
Latvia,1996,1208.6910234079612,41.00083333333333
Latvia,1997,886.0,41.0475
Latvia,1998,839.0,36.82
Latvia,1999,1049.6910234079612,35.034166666666664
Latvia,2000,770.0,37.766666666666666
Latvia,2001,994.6910234079612,31.9575
Latvia,2002,956.6910234079612,30.646666666666665
Latvia,2003,604.0,30.135833333333334
Latvia,2004,849.6910234079612,27.365
Latvia,2005,564.0,26.005
Latvia,2006,1060.3820468159224,24.075
Latvia,2007,453.0,24.645833333333332
Latvia,2008,527.0,26.974166666666665
Latvia,2009,1089.3820468159224,25.650000000000002
Latvia,2010,1011.3820468159225,21.611666666666668
Latvia,2011,1013.3820468159225,24.0625
Latvia,2012,730.6910234079612,22.30666666666667
Latvia,2013,669.6910234079612,20.1825
Latvia,2014,955.3820468159225,20.734166666666667
Latvia,2015,673.6910234079612,20.955833333333334
Lithuania,1995,1694.0,53.275
Lithuania,1996,1722.0,49.634166666666665
Lithuania,1997,1632.0,47.120000000000005
Lithuania,1998,1553.0,47.196666666666665
Lithuania,1999,1550.0,46.79416666666666
Lithuania,2000,1917.6910234079612,47.650000000000006
Lithuania,2001,1533.0,47.415
Lithuania,2002,1551.0,46.30166666666667
Lithuania,2003,1455.0,44.21
Lithuania,2004,1380.0,41.9475
Lithuania,2005,1319.0,40.482499999999995
Lithuania,2006,1049.0,33.380833333333335
Lithuania,2007,1025.0,33.899166666666666
Lithuania,2008,1397.6910234079612,35.8375
Lithuania,2009,1138.0,36.4225
Lithuania,2010,1018.0,32.93666666666667
Lithuania,2011,1018.0,33.97416666666667
Lithuania,2012,1213.6910234079612,31.176666666666666
Lithuania,2013,1085.0,37.04666666666667
Lithuania,2014,930.0,33.439166666666665
Lithuania,2015,896.0,32.123333333333335
Lithuania,2016,822.0,36.172000000000004
Luxembourg,1985,628.3820468159225,20.61583333333333
Luxembourg,1986,911.0730702238839,15.254166666666668
Luxembourg,1987,647.3820468159225,20.27
Luxembourg,1988,929.0730702238839,17.625
Luxembourg,1989,73.0,21.776666666666667
Luxembourg,1990,928.0730702238839,19.445
Luxembourg,1991,937.0730702238839,23.4025
Luxembourg,1992,632.3820468159225,19.030833333333334
Luxembourg,1993,924.0730702238839,17.330000000000002
Luxembourg,1994,647.3820468159225,23.103333333333335
Luxembourg,1995,636.3820468159225,17.506666666666664
Luxembourg,1996,645.3820468159225,19.104166666666668
Luxembourg,1997,654.3820468159225,25.633333333333336
Luxembourg,1998,350.69102340796127,16.770833333333332
Luxembourg,1999,643.3820468159225,17.665833333333335
Luxembourg,2000,635.3820468159225,18.55333333333333
Luxembourg,2001,933.0730702238839,19.985
Luxembourg,2002,945.0730702238839,22.011666666666667
Luxembourg,2003,621.3820468159225,13.6975
Luxembourg,2004,1208.764093631845,15.795
Luxembourg,2005,909.0730702238839,13.255833333333333
Luxembourg,2006,925.0730702238839,15.315833333333332
Luxembourg,2007,651.3820468159225,15.324166666666668
Luxembourg,2008,1189.764093631845,9.359166666666667
Luxembourg,2009,908.0730702238839,9.245833333333334
Luxembourg,2010,627.3820468159225,11.763333333333334
Luxembourg,2011,628.3820468159225,11.3775
Luxembourg,2012,624.3820468159225,11.681666666666667
Luxembourg,2013,1186.764093631845,7.623333333333334
Luxembourg,2014,353.69102340796127,12.323333333333332
Luxembourg,2015,637.3820468159225,11.200000000000001
Macau,1994,887.0730702238839,14.311666666666667
Maldives,2000,3440.2922808955354,0.0
Maldives,2001,2583.2192106716516,9.2075
Maldives,2002,2583.2192106716516,0.82
Maldives,2003,2870.9102340796126,1.2933333333333332
Maldives,2004,3154.601257487574,0.3116666666666667
Maldives,2005,3154.601257487574,0.22916666666666666
Maldives,2007,2298.52818726369,1.1966666666666665
Maldives,2008,3440.2922808955354,0.0
Maldives,2010,3154.601257487574,0.16583333333333333
Maldives,2011,2868.9102340796126,0.44916666666666666
Malta,1985,2868.9102340796126,0.73
Malta,1986,3154.601257487574,0.30083333333333334
Malta,1987,3154.601257487574,1.5725
Malta,1988,2302.52818726369,2.3841666666666668
Malta,1989,1456.4551170398063,7.496666666666667
Malta,1990,2301.52818726369,1.9791666666666667
Malta,1991,2303.52818726369,2.5283333333333333
Malta,1992,1451.4551170398063,7.261666666666667
